Button A: X+12, Y+57
Button B: X+56, Y+15
Prize: X=14212, Y=3815

Button A: X+17, Y+46
Button B: X+98, Y+19
Prize: X=3507, Y=4566

Button A: X+60, Y+12
Button B: X+23, Y+41
Prize: X=3236, Y=2540

Button A: X+13, Y+99
Button B: X+84, Y+41
Prize: X=3193, Y=10546

Button A: X+30, Y+82
Button B: X+35, Y+18
Prize: X=2250, Y=3354

Button A: X+24, Y+50
Button B: X+60, Y+18
Prize: X=8624, Y=9514

Button A: X+26, Y+17
Button B: X+17, Y+83
Prize: X=1284, Y=4290

Button A: X+18, Y+49
Button B: X+52, Y+18
Prize: X=16916, Y=4242

Button A: X+36, Y+12
Button B: X+18, Y+77
Prize: X=3834, Y=6035

Button A: X+53, Y+34
Button B: X+26, Y+51
Prize: X=3434, Y=2958

Button A: X+71, Y+65
Button B: X+21, Y+88
Prize: X=2999, Y=5359

Button A: X+14, Y+31
Button B: X+91, Y+42
Prize: X=2639, Y=1537

Button A: X+43, Y+11
Button B: X+41, Y+81
Prize: X=6381, Y=3069

Button A: X+46, Y+17
Button B: X+24, Y+29
Prize: X=3434, Y=3262

Button A: X+22, Y+74
Button B: X+50, Y+11
Prize: X=19706, Y=6810

Button A: X+46, Y+42
Button B: X+18, Y+57
Prize: X=4704, Y=6810

Button A: X+43, Y+25
Button B: X+19, Y+69
Prize: X=3212, Y=6156

Button A: X+29, Y+28
Button B: X+22, Y+86
Prize: X=2112, Y=2622

Button A: X+25, Y+50
Button B: X+57, Y+29
Prize: X=3544, Y=5518

Button A: X+15, Y+38
Button B: X+31, Y+14
Prize: X=11000, Y=9160

Button A: X+70, Y+41
Button B: X+14, Y+32
Prize: X=7070, Y=6283

Button A: X+22, Y+51
Button B: X+31, Y+14
Prize: X=16913, Y=1950

Button A: X+64, Y+30
Button B: X+19, Y+41
Prize: X=17339, Y=16511

Button A: X+13, Y+23
Button B: X+44, Y+25
Prize: X=14067, Y=1960

Button A: X+56, Y+99
Button B: X+42, Y+20
Prize: X=5068, Y=7983

Button A: X+94, Y+16
Button B: X+50, Y+97
Prize: X=9306, Y=9902

Button A: X+92, Y+14
Button B: X+56, Y+63
Prize: X=9880, Y=5208

Button A: X+44, Y+13
Button B: X+29, Y+94
Prize: X=4877, Y=6994

Button A: X+13, Y+71
Button B: X+70, Y+19
Prize: X=3783, Y=1769

Button A: X+93, Y+16
Button B: X+70, Y+59
Prize: X=8034, Y=3777

Button A: X+27, Y+80
